site,site_name,date,participation
1,MLK Center,10/1/2017,2224
1,MLK Center,11/1/2017,2127
1,MLK Center,12/1/2017,2079
1,MLK Center,1/1/2018,2095
1,MLK Center,2/1/2018,2068
1,MLK Center,3/1/2018,2031
1,MLK Center,4/1/2018,2014
1,MLK Center,5/1/2018,2033
1,MLK Center,6/1/2018,2058
1,MLK Center,7/1/2018,1974
1,MLK Center,8/1/2018,1844
1,MLK Center,9/1/2018,1820
1,MLK Center,10/1/2018,1802
1,MLK Center,11/1/2018,1723
1,MLK Center,12/1/2018,1676
1,MLK Center,1/1/2019,1598
1,MLK Center,2/1/2019,1572
1,MLK Center,3/1/2019,1549
1,MLK Center,4/1/2019,1568
1,MLK Center,5/1/2019,1586
1,MLK Center,6/1/2019,1586
1,MLK Center,7/1/2019,1616
1,MLK Center,8/1/2019,1633
1,MLK Center,9/1/2019,1641
1,MLK Center,10/1/2019,1624
1,MLK Center,11/1/2019,1575
1,MLK Center,12/1/2019,1599
1,MLK Center,1/1/2020,1630
1,MLK Center,2/1/2020,1603
1,MLK Center,3/1/2020,1487
1,MLK Center,4/1/2020,1092
1,MLK Center,5/1/2020,612
1,MLK Center,6/1/2020,179
1,MLK Center,7/1/2020,24
1,MLK Center,8/1/2020,
1,MLK Center,9/1/2020,
1,MLK Center,10/1/2020,
1,MLK Center,11/1/2020,
1,MLK Center,12/1/2020,
1,MLK Center,1/1/2021,
1,MLK Center,2/1/2021,
1,MLK Center,3/1/2021,
1,MLK Center,4/1/2021,0
1,MLK Center,5/1/2021,0
1,MLK Center,6/1/2021,0
1,MLK Center,7/1/2021,5
1,MLK Center,8/1/2021,37
1,MLK Center,9/1/2021,100
1,MLK Center,10/1/2021,176
1,MLK Center,11/1/2021,307
3,Westmoreland,10/1/2017,4578
3,Westmoreland,11/1/2017,4462
3,Westmoreland,12/1/2017,4385
3,Westmoreland,1/1/2018,4362
3,Westmoreland,2/1/2018,4320
3,Westmoreland,3/1/2018,4323
3,Westmoreland,4/1/2018,4342
3,Westmoreland,5/1/2018,4287
3,Westmoreland,6/1/2018,4277
3,Westmoreland,7/1/2018,4249
3,Westmoreland,8/1/2018,4019
3,Westmoreland,9/1/2018,3899
3,Westmoreland,10/1/2018,3655
3,Westmoreland,11/1/2018,3508
3,Westmoreland,12/1/2018,3541
3,Westmoreland,1/1/2019,3580
3,Westmoreland,2/1/2019,3507
3,Westmoreland,3/1/2019,3489
3,Westmoreland,4/1/2019,3507
3,Westmoreland,5/1/2019,3588
3,Westmoreland,6/1/2019,3573
3,Westmoreland,7/1/2019,3590
3,Westmoreland,8/1/2019,3544
3,Westmoreland,9/1/2019,3545
3,Westmoreland,10/1/2019,3500
3,Westmoreland,11/1/2019,3510
3,Westmoreland,12/1/2019,3487
3,Westmoreland,1/1/2020,3444
3,Westmoreland,2/1/2020,3404
3,Westmoreland,3/1/2020,3252
3,Westmoreland,4/1/2020,2887
3,Westmoreland,5/1/2020,2845
3,Westmoreland,6/1/2020,3091
3,Westmoreland,7/1/2020,3467
3,Westmoreland,8/1/2020,3635
3,Westmoreland,9/1/2020,3722
3,Westmoreland,10/1/2020,3784
3,Westmoreland,11/1/2020,3788
3,Westmoreland,12/1/2020,3748
3,Westmoreland,1/1/2021,3808
3,Westmoreland,2/1/2021,3697
3,Westmoreland,3/1/2021,3769
3,Westmoreland,4/1/2021,3778
3,Westmoreland,5/1/2021,3633
3,Westmoreland,6/1/2021,3603
