Year,Month,Project,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Total_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,Total_Infants,Total_Children,Total_Participants,MtM_Caseload_Difference,Gen_Admin_Money,Date,Fiscal_Month,Local_Agency,Time_Shift,Fiscal_Year,FFF_Infants_Est
2015,12,1,37450,2575,1141,3857,747,8320,1197,3417,2428,7042,13769,29131,-414,379285.62,12/1/2015,Dec,LA 1,3/1/2016,FY16,354516.3267
2015,12,3,31500,2449,298,3254,924,6925,324,3057,2504,5885,13805,26615,-364,320976.9,12/1/2015,Dec,LA 3,3/1/2016,FY16,365613.2133
2015,12,4,1500,128,18,67,74,287,19,80,170,269,638,1194,-11,19724.88,12/1/2015,Dec,LA 4,3/1/2016,FY16,24821.98333
2015,12,5,9450,688,190,833,390,2101,198,810,962,1970,3628,7699,-206,102704.66,12/1/2015,Dec,LA 5,3/1/2016,FY16,140463.2233
2015,12,7,106250,7078,1951,14294,2064,25387,2143,12864,7508,22515,40296,88198,-942,1008103.14,12/1/2015,Dec,LA 7,3/1/2016,FY16,1096255.593
2015,12,10,3900,266,83,152,255,756,93,167,568,828,1343,2927,-80,40890.19,12/1/2015,Dec,LA 10,3/1/2016,FY16,82934.62667
2015,12,11,6700,497,121,616,407,1641,128,546,942,1616,2466,5723,-91,70907.97,12/1/2015,Dec,LA 11,3/1/2016,FY16,137542.99
2015,12,12,81900,6061,887,8568,1880,17396,978,8341,5103,14422,37755,69573,-1085,839050.38,12/1/2015,Dec,LA 12,3/1/2016,FY16,745097.535
2015,12,13,30250,2241,178,2682,1201,6302,197,2316,3103,5616,13317,25235,-339,400731.8,12/1/2015,Dec,LA 13,3/1/2016,FY16,453074.2017
2015,12,17,34400,2948,465,2815,1800,8028,505,2865,4535,7905,15186,31119,-824,350088.75,12/1/2015,Dec,LA 17,3/1/2016,FY16,662162.9083
2015,12,19,3600,298,49,243,155,745,52,236,389,677,1539,2961,-75,45125.64,12/1/2015,Dec,LA 19,3/1/2016,FY16,56798.53833
2015,12,20,7200,484,114,264,325,1187,130,188,895,1213,2617,5017,-130,79669.96,12/1/2015,Dec,LA 20,3/1/2016,FY16,130680.4417
2015,12,21,4600,383,119,152,298,952,133,156,700,989,1776,3717,-45,51926.49,12/1/2015,Dec,LA 21,3/1/2016,FY16,102208.1667
2015,12,22,8050,745,156,380,591,1872,170,361,1488,2019,3333,7224,-85,96368.16,12/1/2015,Dec,LA 22,3/1/2016,FY16,217265.36
2015,12,24,4550,388,29,575,123,1115,29,566,340,935,2021,4071,-49,62042.04,12/1/2015,Dec,LA 24,3/1/2016,FY16,49643.96667
2015,12,26,84000,6341,985,9085,3014,19425,1059,8817,7374,17250,34381,71056,-614,812170.08,12/1/2015,Dec,LA 26,3/1/2016,FY16,1076690.03
2015,12,27,23700,2058,597,1097,1899,5651,623,932,4471,6026,9423,21100,-529,359755,12/1/2015,Dec,LA 27,3/1/2016,FY16,652818.1617
2015,12,28,2350,202,44,105,131,482,54,127,282,463,956,1901,-39,25359.34,12/1/2015,Dec,LA 28,3/1/2016,FY16,41175.29
2015,12,29,15100,1149,336,1658,583,3726,366,1612,1544,3522,6960,14208,-152,212125.44,12/1/2015,Dec,LA 29,3/1/2016,FY16,225442.0133
2015,12,30,3750,303,44,265,255,867,55,243,592,890,1426,3183,-54,44466.51,12/1/2015,Dec,LA 30,3/1/2016,FY16,86438.90667
2015,12,31,18900,1555,651,1098,952,4256,696,1067,2345,4108,8098,16462,-253,209067.4,12/1/2015,Dec,LA 31,3/1/2016,FY16,342397.3583
2015,12,32,8350,742,208,633,456,2039,229,605,1096,1930,3783,7752,-133,118218,12/1/2015,Dec,LA 32,3/1/2016,FY16,160028.7867
2015,12,33,48200,3350,1099,2705,2272,9426,1172,2887,5078,9137,19770,38333,-989,486829.1,12/1/2015,Dec,LA 33,3/1/2016,FY16,741447.2433
2015,12,34,4450,396,143,160,352,1051,157,158,788,1103,1580,3734,-153,52163.98,12/1/2015,Dec,LA 34,3/1/2016,FY16,115057.1933
2015,12,35,14500,887,343,966,604,2800,366,946,1476,2788,4675,10263,-68,120590.25,12/1/2015,Dec,LA 35,3/1/2016,FY16,215513.22
2015,12,36,9850,705,354,590,559,2208,377,500,1428,2305,4029,8542,-69,116683.72,12/1/2015,Dec,LA 36,3/1/2016,FY16,208504.66
2015,12,37,5150,367,82,146,419,1014,83,128,941,1152,1708,3874,-44,61519.12,12/1/2015,Dec,LA 37,3/1/2016,FY16,137396.9783
2015,12,38,5400,425,98,509,283,1315,109,384,755,1248,2342,4905,-125,68522.85,12/1/2015,Dec,LA 38,3/1/2016,FY16,110238.8083
2015,12,39,29800,2600,644,2057,1625,6926,706,1890,4085,6681,13504,27111,-395,396091.71,12/1/2015,Dec,LA 39,3/1/2016,FY16,596457.6583
