Date,Total_Participants,Total_Women,Total_Infants,Total_Children,Project,Year,Local_Agency,Month,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,MtM_Caseload_Difference,Gen_Admin_Money,Fiscal_Month,Time_Shift,Fiscal_Year,FFF_Infants_Est
2015-10-01,13377.2272727273,3579.4696969697,3320.07575757576,6477.68181818182,0,2015,Texas,,,,,,,,,,,,,,,
2015-11-01,13261.5757575758,3527.62121212121,3292.95454545455,6441,0,2015,Texas,,,,,,,,,,,,,,,
2015-12-01,13075.4393939394,3473.36363636364,3277.90909090909,6324.16666666667,0,2015,Texas,,,,,,,,,,,,,,,
2016-01-01,13025.196969697,3472.81818181818,3250.5303030303,6301.84848484849,0,2016,Texas,,,,,,,,,,,,,,,
2016-02-01,13010.1666666667,3470.31818181818,3239.95454545455,6299.89393939394,0,2016,Texas,,,,,,,,,,,,,,,
2016-03-01,13013.4696969697,3482.5,3252.83333333333,6278.13636363637,0,2016,Texas,,,,,,,,,,,,,,,
2016-04-01,12923.5909090909,3470.92424242424,3218.07575757576,6234.59090909091,0,2016,Texas,,,,,,,,,,,,,,,
2016-05-01,12913.696969697,3469.72727272727,3209.10606060606,6234.86363636364,0,2016,Texas,,,,,,,,,,,,,,,
2016-06-01,13003.9090909091,3502.37878787879,3230.83333333333,6270.69696969697,0,2016,Texas,,,,,,,,,,,,,,,
2016-07-01,12844.5151515152,3449.81818181818,3194.39393939394,6200.30303030303,0,2016,Texas,,,,,,,,,,,,,,,
2016-08-01,12962.7575757576,3481.16666666667,3222.04545454545,6259.54545454546,0,2016,Texas,,,,,,,,,,,,,,,
2016-09-01,12919.2575757576,3458,3208.68181818182,6252.57575757576,0,2016,Texas,,,,,,,,,,,,,,,
2016-10-01,12874.1363636364,3436.98484848485,3200.80303030303,6236.34848484849,0,2016,Texas,,,,,,,,,,,,,,,
2016-11-01,12765.303030303,3396.69696969697,3183.25757575758,6185.34848484849,0,2016,Texas,,,,,,,,,,,,,,,
2016-12-01,12533.1363636364,3323.45454545455,3139.65151515152,6070.0303030303,0,2016,Texas,,,,,,,,,,,,,,,
2017-01-01,12585.6666666667,3348.83333333333,3148.72727272727,6088.10606060606,0,2017,Texas,,,,,,,,,,,,,,,
2017-02-01,12463.8333333333,3311.27272727273,3106.74242424242,6045.81818181818,0,2017,Texas,,,,,,,,,,,,,,,
2017-03-01,12437.803030303,3310.09090909091,3106.93939393939,6020.77272727273,0,2017,Texas,,,,,,,,,,,,,,,
2017-04-01,12290.6515151515,3268.72727272727,3057.09090909091,5964.83333333333,0,2017,Texas,,,,,,,,,,,,,,,
2017-05-01,12353.9696969697,3288.75757575758,3065.36363636364,5999.84848484849,0,2017,Texas,,,,,,,,,,,,,,,
2017-06-01,12385.6212121212,3292.5,3057.56060606061,6035.56060606061,0,2017,Texas,,,,,,,,,,,,,,,
2017-07-01,12307.9090909091,3273,3035.27272727273,5999.63636363636,0,2017,Texas,,,,,,,,,,,,,,,
2017-08-01,12303.8939393939,3277.78787878788,3030.75757575758,5995.34848484849,0,2017,Texas,,,,,,,,,,,,,,,
2017-09-01,12129.5757575758,3232.12121212121,2982.65151515152,5914.80303030303,0,2017,Texas,,,,,,,,,,,,,,,
2017-10-01,12056.7878787879,3216.77272727273,2980.15151515152,5859.86363636364,0,2017,Texas,,,,,,,,,,,,,,,
2017-11-01,11825.0757575758,3155.31818181818,2938.19696969697,5731.56060606061,0,2017,Texas,,,,,,,,,,,,,,,
2017-12-01,11526.7878787879,3038.12121212121,2849.21212121212,5639.45454545455,0,2017,Texas,,,,,,,,,,,,,,,
2018-01-01,11570.1666666667,3094.78787878788,2893.33333333333,5582.04545454546,0,2018,Texas,,,,,,,,,,,,,,,
2018-02-01,11413.4242424242,3037.80303030303,2848.87878787879,5526.74242424242,0,2018,Texas,,,,,,,,,,,,,,,
2018-03-01,11541.2121212121,3055.65151515152,2929.66666666667,5555.89393939394,0,2018,Texas,,,,,,,,,,,,,,,
2018-04-01,11131.8181818182,2993.72727272727,2826.54545454545,5311.54545454546,0,2018,Texas,,,,,,,,,,,,,,,
2018-05-01,11064.2272727273,2980.06060606061,2817.92424242424,5266.24242424242,0,2018,Texas,,,,,,,,,,,,,,,
2018-06-01,11026.1515151515,2979.74242424242,2805.86363636364,5240.54545454546,0,2018,Texas,,,,,,,,,,,,,,,
2018-07-01,10854.5303030303,2954.56060606061,2761.21212121212,5138.75757575758,0,2018,Texas,,,,,,,,,,,,,,,
2018-08-01,11200.578125,3039.4375,2884.90625,5276.234375,0,2018,Texas,,,,,,,,,,,,,,,
2018-09-01,11147.59375,3010.9375,2880.203125,5256.453125,0,2018,Texas,,,,,,,,,,,,,,,
2018-10-01,11061.625,2991.671875,2878.546875,5191.40625,0,2018,Texas,,,,,,,,,,,,,,,
2018-11-01,10789.375,2913.828125,2830.59375,5044.953125,0,2018,Texas,,,,,,,,,,,,,,,
2018-12-01,10578.9375,2844.28125,2797.546875,4937.109375,0,2018,Texas,,,,,,,,,,,,,,,
2019-01-01,10550.359375,2863.59375,2809.515625,4877.25,0,2019,Texas,,,,,,,,,,,,,,,
2019-02-01,10449.03125,2833.625,2770.796875,4844.609375,0,2019,Texas,,,,,,,,,,,,,,,
2019-03-01,10460.484375,2854.3125,2765.25,4840.921875,0,2019,Texas,,,,,,,,,,,,,,,
2019-04-01,10491.578125,2879.109375,2757.125,4855.34375,0,2019,Texas,,,,,,,,,,,,,,,
2019-05-01,10571.609375,2916.390625,2777.578125,4877.640625,0,2019,Texas,,,,,,,,,,,,,,,
2019-06-01,10602.328125,2936.546875,2766.171875,4899.609375,0,2019,Texas,,,,,,,,,,,,,,,
