site,site_name,date,participation
1,MLK Center,2017-10-01,2224
1,MLK Center,2017-11-01,2127
1,MLK Center,2017-12-01,2079
1,MLK Center,2018-01-01,2095
1,MLK Center,2018-02-01,2068
1,MLK Center,2018-03-01,2031
1,MLK Center,2018-04-01,2014
1,MLK Center,2018-05-01,2033
1,MLK Center,2018-06-01,2058
1,MLK Center,2018-07-01,1974
1,MLK Center,2018-08-01,1844
1,MLK Center,2018-09-01,1820
1,MLK Center,2018-10-01,1802
1,MLK Center,2018-11-01,1723
1,MLK Center,2018-12-01,1676
1,MLK Center,2019-01-01,1598
1,MLK Center,2019-02-01,1572
1,MLK Center,2019-03-01,1549
1,MLK Center,2019-04-01,1568
1,MLK Center,2019-05-01,1586
1,MLK Center,2019-06-01,1586
1,MLK Center,2019-07-01,1616
1,MLK Center,2019-08-01,1633
1,MLK Center,2019-09-01,1641
1,MLK Center,2019-10-01,1624
1,MLK Center,2019-11-01,1575
1,MLK Center,2019-12-01,1599
1,MLK Center,2020-01-01,1630
1,MLK Center,2020-02-01,1603
1,MLK Center,2020-03-01,1487
1,MLK Center,2020-04-01,1092
1,MLK Center,2020-05-01,612
1,MLK Center,2020-06-01,179
1,MLK Center,2020-07-01,24
1,MLK Center,2020-08-01,
1,MLK Center,2020-09-01,
1,MLK Center,2020-10-01,
1,MLK Center,2020-11-01,
1,MLK Center,2020-12-01,
1,MLK Center,2021-01-01,
1,MLK Center,2021-02-01,
1,MLK Center,2021-03-01,
1,MLK Center,2021-04-01,0
1,MLK Center,2021-05-01,0
1,MLK Center,2021-06-01,0
1,MLK Center,2021-07-01,5
1,MLK Center,2021-08-01,37
1,MLK Center,2021-09-01,100
1,MLK Center,2021-10-01,176
1,MLK Center,2021-11-01,307
1,MLK Center,2021-12-01,404
1,MLK Center,2022-01-01,482
1,MLK Center,2022-02-01,505
1,MLK Center,2022-03-01,574
1,MLK Center,2022-04-01,614
3,Westmoreland,2017-10-01,4578
3,Westmoreland,2017-11-01,4462
3,Westmoreland,2017-12-01,4385
3,Westmoreland,2018-01-01,4362
3,Westmoreland,2018-02-01,4320
3,Westmoreland,2018-03-01,4323
3,Westmoreland,2018-04-01,4342
3,Westmoreland,2018-05-01,4287
3,Westmoreland,2018-06-01,4277
3,Westmoreland,2018-07-01,4249
3,Westmoreland,2018-08-01,4019
3,Westmoreland,2018-09-01,3899
3,Westmoreland,2018-10-01,3655
3,Westmoreland,2018-11-01,3508
3,Westmoreland,2018-12-01,3541
3,Westmoreland,2019-01-01,3580
3,Westmoreland,2019-02-01,3507
3,Westmoreland,2019-03-01,3489
3,Westmoreland,2019-04-01,3507
3,Westmoreland,2019-05-01,3588
3,Westmoreland,2019-06-01,3573
3,Westmoreland,2019-07-01,3590
3,Westmoreland,2019-08-01,3544
3,Westmoreland,2019-09-01,3545
3,Westmoreland,2019-10-01,3500
3,Westmoreland,2019-11-01,3510
3,Westmoreland,2019-12-01,3487
3,Westmoreland,2020-01-01,3444
3,Westmoreland,2020-02-01,3404
3,Westmoreland,2020-03-01,3252
3,Westmoreland,2020-04-01,2887
3,Westmoreland,2020-05-01,2845
3,Westmoreland,2020-06-01,3091
3,Westmoreland,2020-07-01,3467
3,Westmoreland,2020-08-01,3635
3,Westmoreland,2020-09-01,3722
3,Westmoreland,2020-10-01,3784
3,Westmoreland,2020-11-01,3788
3,Westmoreland,2020-12-01,3748
3,Westmoreland,2021-01-01,3808
3,Westmoreland,2021-02-01,3697
